model,type,status,MRR_only,MRR_bridge,dMRR,H10_only,H10_bridge,AUROC_only,AUROC_bridge,dAUROC,AUPRC_over_floor_only,AUPRC_over_floor_bridge
TransE,kge,executed,0.06566267072128393,0.05167488642708222,-0.013987784294201708,0.14834568794069788,0.11019707105405895,0.34936849445979806,0.7511793197360905,0.40181082527629247,0.9567910852418815,1.0594222621973408
DistMult,kge,executed,0.06312077616713486,0.06024765067933922,-0.0028731254877956483,0.14400650876875792,0.13342975953715422,0.45940664881633964,0.12679077235667363,-0.332615876459666,1.002168284983068,0.8748919156008987
ComplEx,kge,executed,0.035657288608033647,0.08076615244345037,0.04510886383541672,0.07647803290544206,0.17013198336647983,0.15223932639409044,0.3468929095172089,0.19465358312311848,0.8859296180889286,0.9705439317072598
RotatE,kge,executed,0.12251170883488605,0.08147689007270602,-0.04103481876218003,0.24570602061110106,0.17175917555595732,0.2848802420986475,0.301410627832161,0.01653038573351351,0.9473899423536999,0.9511759102497773
PairRE,kge,executed,0.08226113306975268,0.06686433143329758,-0.015396801636455099,0.1798047369372627,0.14265051527752667,0.035530616754626876,0.02218197289160948,-0.013348643863017397,0.8526225791245062,0.8487067280248402
ConvE,kge,executed,0.06421885926151537,0.038220153030356176,-0.025998706231159192,0.13532815042487797,0.06825167239197252,0.18587191098943046,0.37502959509603884,0.18915768410660838,0.9092091877647227,0.9537942123224591
TuckER,kge,model_based_estimate,0.09475669126886288,0.0764,-0.018356691268862885,0.20330862411860423,0.163,0.364885292995038,0.2867,-0.07818529299503801,0.9776840544791275,0.9513
RGCN,gnn,model_based_estimate,0.10671959082067801,0.0652,-0.04151959082067802,0.22988609654673658,0.1391,0.1452487853455129,0.3576,0.21235121465448709,0.8797975035235401,0.9542
CN,structural,executed,0.0517327564499173,0.04955456223122935,-0.002178194218687951,0.11327065630084976,0.10459229795696981,0.40009610334822776,0.33861363655930643,-0.06148246678892133,0.973219100706659,0.9576095100636686
RA,structural,executed,0.055029918245028134,0.05434787046046173,-0.000682047784566403,0.11824263243536431,0.11254745977219309,0.3638141298826527,0.3284461964741299,-0.03536793340852279,0.9556623398688693,0.9493490673401621
L3,structural,executed,0.10119492900100023,0.08870279178720847,-0.012492137213791762,0.2261797143373712,0.1849575122039414,0.1960203384674547,0.20777299951499917,0.011752661047544466,0.910740115307588,0.9166171413282467
Random,trivial,executed,0.008575643775133502,0.008201153617584866,-0.0003744901575486355,0.013469535346230337,0.013288736214066172,0.49969705667737574,0.48660789935088516,-0.013089157326490575,0.9975814248722163,0.9968761894106966
Popularity,trivial,executed,0.08639222227233728,0.07005886297810168,-0.0163333592942356,0.18748870005423973,0.1393961308985717,0.30039164761743375,0.29296504047889943,-0.007426607138534325,0.9503352492294231,0.9470259660218824
