disease_name	n_records
Caries	242
Smoking	129
Sjögren Syndrome	96
Celiac Disease, Coaliac disease	92
Aerobic vaginitis	66
Pulmonary tubercolosis	62
Gastric carcinoma	61
Edentulism	58
Primary sclerosing cholangitis-IBD	51
Uveitits	51
Helicobacter pylori infection	44
Chlamydia	41
Oral potentially malignant disorder	41
Chronic Rhinosinusitis	39
Laryngeal carcinoma	38
Colon adenomas	38
Pervasive developmental disorder NOS	38
Obstructive sleep apnea-hypopnea syndrome	38
Preeclamsia	37
Autoimmune polyendocrine syndrome type 1	34
Kidney stone with hypertension	33
Non alcoholic steatohepatitis	31
Chronic alcoholic pancreatitis	31
Pregnancy	29
Recurrent tonsillitis	27
Protracted bacterial bronchitis	27
Influenza A	23
COPD Exacerbation	22
Clostridium difficile associated disease	20
Pancreatic head cancer	20
Human end-stage renal disease	20
Spondyloarthritis	17
Human papilloma virus infection	17
Colon polyps	17
E-smoking	17
Head/Neck cancer	16
Trichomonas vaginalis infection	16
Invasive pneumococcal disease	16
Diaper dermatitis	16
Bleeding gum	16
Intestinal metaplasia	15
Idiopathic central precocious puberty	15
Postmenopausal	14
Urgency urinary incontinence	14
Primary liver cancer	14
Disease-free	13
Idiopathic REM Sleep Behavior Disorder	13
Cardiac valve calcification	13
Alopecia universalis	13
Posttraumatic stress syndrome	13
Idiopathic focal epilepsy	13
H1N1 Influenza	13
T2D with hypertension	12
Hepatitis B associated liver failure	12
Acute fatty liver	12
Excessive vomiting	12
Rectal Carcinoma	11
Henoch-Schönlein Purpura	11
Arsenic exposure	11
Adolescent idiopathic scoliosis	11
Invasive colorectal cancer	11
Refractory celiac disease	10
Cutaneous burn	10
Cirrhosis with pneumonia	10
H7N9	10
Spleen deficiency syndrome	10
Cystic fibrosis exacerbation	10
Chronic prostatitis / Chronic pelvic pain syndrome	9
Common Variable Immunodeficieny	9
Vogt-Koyagani-Harada disease	9
Functional dyspepsia	8
Idiopathic infertility	8
Viral respiratory tract infection	8
Chronic ocular graft-versus-host disease	8
Extrinsic black stain	8
Inactive Crohn's Disease	7
Tetratricopeptide repeat domain 7A deficiency	7
X-linked inhibitor of apoptosis deficiency	7
Lower respiratory tract infection	7
Atopic wheeze	6
Chronic rhinosinusitis with nasal polyps	6
Gestational diabetes + hyperlipidemia	6
Chronic stress	6
Genitourinary lichen sclerosus	6
Normal weight obesity	6
Infective colitis	5
HIV-infected pneumonia	5
Chronic Rhinosinusitis with cystic fibrosis	5
Chronic lung disease	5
Liver transplant	5
Nongonococcal urethritis	5
Idiopathic nephrotic syndrome	5
Allergic asthma	5
Maturity-onset diabetes of the young 2	5
Cervical intraneoplasia	5
Radiation enteritis	5
Cancer cachexia	5
Primary immune thrombocytopenia	5
Osmotic diarrhea	4
T2D with hypertension and hyperlipidemia	4
Hirschsprung-associated enterocolitis	4
Seminal hyperviscosity	4
Chronic liver disease	4
Severe congenital neutropenia	4
Antrochoanal polyps	4
Recurrent aphthous stomatitis	4
Conjunctival scarring	3
Exacerbations of idiopathic pulmonary fibrosis	3
Viral Diarrhea	3
Chronic Rhinosinusitis with asthma	3
T2D with hyperlipidemia	3
Shiga Toxin-producing E. coli infection	3
Infant colic	3
Laryngotracheal stenosis	3
Acute cerbral infarction	3
Neuro-Behcet's disease	3
Gastrointestinal follicular lymphoma	3
Atopy	2
Rhinovirus infection	2
Cytolytic vaginosis	2
Late-onset Sepsis	2
Undernourishment	2
AA amyloidosis	2
Allergic rhinoconjunctivitis	2
Palmoplantar pustulosis	2
Acute skin abscess	1
Enthesitis-related arthritis	1
Small intestine neoplasm	1
Sensitive scalp	1
Kostmann syndrome	1
Folliculitis decalvans	1
